Category,Message,Label,Clean
spam,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx,1,heard u call rude chat privat line cum wan c pic gettin shag text pix end send stop sam xxx
ham,"Yeah why not, is the gang all ready",0,yeah gang readi
ham,Oops I was in the shower when u called. Hey a parking garage collapsed at university hospital. See I'm not crazy. Stuff like that DOES happen.,0,oop shower u call hey park garag collaps univers hospit see crazi stuff like happen
ham,... Are you in the pub?,0,pub
ham,Which channel:-):-):):-).,0,channel
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",1,new mobil must go txt nokia collect today www tc biz optout gbp mtmsg
spam,URGENT This is our 2nd attempt to contact U. Your å£900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893,1,urgent nd attempt contact u prize yesterday still await collect claim call
ham,In that case I guess I'll see you at campus lodge,0,case guess see campu lodg
spam,"u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020",1,u r subscrib textcomp wkli comp st wk free question follow subsequ wk charg p msg unsubscrib txt stop custcar
ham,So how are you really. What are you up to. How's the masters. And so on.,0,realli master
spam,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p.,1,send logo ur lover name join heart txt love name name mobno eg love adam eve yahoo pobox w wq txtno ad p
ham,Do you mind if I ask what happened? You dont have to say if it is uncomfortable.,0,mind ask happen dont say uncomfort
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,0,that cool gentleman treat digniti respect
spam,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 å£3/wk",1,free day sexi st georg day pic jordan txt pic dont miss everi wk sauci celeb pic c pocketbab co uk wk
spam,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX,1,congrat nokia video camera phone call call cost ppm ave call min vari mobil close post bcm ldn wc n xx
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,1,privat account statement show unredeem bonu point claim call identifi code expir
spam,"Shop till u Drop, IS IT YOU, either 10K, 5K, å£500 Cash or å£100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary",1,shop till u drop either k k cash travel voucher call ntt po box cr bt fixedlin cost ppm mobil vari
ham,S.this will increase the chance of winning.,0,increas chanc win
